"NETWORK","IDENTIFIER","HOSTNAME","LOCATION","LAT","LON"
"143.131.11.160/27","DFW2","customer.dfw2.mc.starlinkisp.net.","Dallas - United States","32.7831","-96.8067"
"143.131.11.192/27","DFW2","customer.dfw2.mc.starlinkisp.net.","Dallas - United States","32.7831","-96.8067"
"143.131.11.224/27","DFW2","customer.dfw2.mc.starlinkisp.net.","Dallas - United States","32.7831","-96.8067"
"143.131.12.0/27","DEN1","customer.den1.mc.starlinkisp.net.","Denver - United States","39.7392","-104.9847"
"143.131.12.32/27","DEN1","customer.den1.mc.starlinkisp.net.","Denver - United States","39.7392","-104.9847"
"143.131.12.64/27","DEN1","customer.den1.mc.starlinkisp.net.","Denver - United States","39.7392","-104.9847"
"143.131.12.96/27","DEN1","customer.den1.mc.starlinkisp.net.","Denver - United States","39.7392","-104.9847"
"143.131.12.128/27","DEN1","customer.den1.mc.starlinkisp.net.","Denver - United States","39.7392","-104.9847"
"143.131.12.160/27","DEN1","customer.den1.mc.starlinkisp.net.","Denver - United States","39.7392","-104.9847"
"143.131.12.192/27","DEN1","customer.den1.mc.starlinkisp.net.","Denver - United States","39.7392","-104.9847"
"143.131.12.224/27","DEN1","customer.den1.mc.starlinkisp.net.","Denver - United States","39.7392","-104.9847"
"143.131.13.0/27","DEN2","customer.den2.mc.starlinkisp.net.","Denver - United States","39.7392","-104.9847"
"143.131.13.32/27","DEN2","customer.den2.mc.starlinkisp.net.","Denver - United States","39.7392","-104.9847"
"143.131.13.64/27","DEN2","customer.den2.mc.starlinkisp.net.","Denver - United States","39.7392","-104.9847"
"143.131.13.96/27","DEN2","customer.den2.mc.starlinkisp.net.","Denver - United States","39.7392","-104.9847"
"143.131.13.128/27","DEN2","customer.den2.mc.starlinkisp.net.","Denver - United States","39.7392","-104.9847"
"143.131.13.160/27","DEN2","customer.den2.mc.starlinkisp.net.","Denver - United States","39.7392","-104.9847"
"143.131.13.192/27","DEN2","customer.den2.mc.starlinkisp.net.","Denver - United States","39.7392","-104.9847"
"143.131.13.224/27","DEN2","customer.den2.mc.starlinkisp.net.","Denver - United States","39.7392","-104.9847"
"188.95.144.0/27","FRA1","customer.fra1.mc.starlinkisp.net.","Frankfurt - Germany","50.1109","8.68213"
"188.95.144.32/27","FRA1","customer.fra1.mc.starlinkisp.net.","Frankfurt - Germany","50.1109","8.68213"
"188.95.144.64/27","FRA1","customer.fra1.mc.starlinkisp.net.","Frankfurt - Germany","50.1109","8.68213"
"188.95.144.96/27","FRA1","customer.fra1.mc.starlinkisp.net.","Frankfurt - Germany","50.1109","8.68213"
"188.95.144.128/27","FRA1","customer.fra1.mc.starlinkisp.net.","Frankfurt - Germany","50.1109","8.68213"
"188.95.144.160/27","FRA1","customer.fra1.mc.starlinkisp.net.","Frankfurt - Germany","50.1109","8.68213"
"188.95.144.192/27","FRA1","customer.fra1.mc.starlinkisp.net.","Frankfurt - Germany","50.1109","8.68213"
"188.95.144.224/27","FRA1","customer.fra1.mc.starlinkisp.net.","Frankfurt - Germany","50.1109","8.68213"
"188.95.145.0/27","FRA2","customer.fra2.mc.starlinkisp.net.","Frankfurt - Germany","50.1109","8.68213"
"188.95.145.32/27","FRA2","customer.fra2.mc.starlinkisp.net.","Frankfurt - Germany","50.1109","8.68213"
"188.95.145.64/27","FRA2","customer.fra2.mc.starlinkisp.net.","Frankfurt - Germany","50.1109","8.68213"
"188.95.145.96/27","FRA2","customer.fra2.mc.starlinkisp.net.","Frankfurt - Germany","50.1109","8.68213"
"188.95.145.128/27","FRA2","customer.fra2.mc.starlinkisp.net.","Frankfurt - Germany","50.1109","8.68213"
"188.95.145.160/27","FRA2","customer.fra2.mc.starlinkisp.net.","Frankfurt - Germany","50.1109","8.68213"
"188.95.145.192/27","FRA2","customer.fra2.mc.starlinkisp.net.","Frankfurt - Germany","50.1109","8.68213"
"188.95.145.224/27","FRA2","customer.fra2.mc.starlinkisp.net.","Frankfurt - Germany","50.1109","8.68213"
"176.116.124.0/27","LHR1","customer.lhr1.mc.starlinkisp.net.","London - United Kingdom","51.5074","-0.127758"
"176.116.124.32/27","LHR1","customer.lhr1.mc.starlinkisp.net.","London - United Kingdom","51.5074","-0.127758"
"176.116.124.64/27","LHR1","customer.lhr1.mc.starlinkisp.net.","London - United Kingdom","51.5074","-0.127758"
"176.116.124.96/27","LHR1","customer.lhr1.mc.starlinkisp.net.","London - United Kingdom","51.5074","-0.127758"
"176.116.124.128/27","LHR1","customer.lhr1.mc.starlinkisp.net.","London - United Kingdom","51.5074","-0.127758"
"176.116.124.160/27","LHR1","customer.lhr1.mc.starlinkisp.net.","London - United Kingdom","51.5074","-0.127758"
"176.116.124.192/27","LHR1","customer.lhr1.mc.starlinkisp.net.","London - United Kingdom","51.5074","-0.127758"
"176.116.124.224/27","LHR1","customer.lhr1.mc.starlinkisp.net.","London - United Kingdom","51.5074","-0.127758"
"176.116.125.0/27","LHR2","customer.lhr2.mc.starlinkisp.net.","London - United Kingdom","51.5074","-0.127758"
"176.116.125.32/27","LHR2","customer.lhr2.mc.starlinkisp.net.","London - United Kingdom","51.5074","-0.127758"
"176.116.125.64/27","LHR2","customer.lhr2.mc.starlinkisp.net.","London - United Kingdom","51.5074","-0.127758"
"176.116.125.96/27","LHR2","customer.lhr2.mc.starlinkisp.net.","London - United Kingdom","51.5074","-0.127758"
"176.116.125.128/27","LHR2","customer.lhr2.mc.starlinkisp.net.","London - United Kingdom","51.5074","-0.127758"
"176.116.125.160/27","LHR2","customer.lhr2.mc.starlinkisp.net.","London - United Kingdom","51.5074","-0.127758"
"176.116.125.192/27","LHR2","customer.lhr2.mc.starlinkisp.net.","London - United Kingdom","51.5074","-0.127758"
"176.116.125.224/27","LHR2","customer.lhr2.mc.starlinkisp.net.","London - United Kingdom","51.5074","-0.127758"
"162.43.194.0/27","LHR3","customer.lhr3.mc.starlinkisp.net.","London - United Kingdom","51.5074","-0.127758"
"162.43.194.32/27","LHR3","customer.lhr3.mc.starlinkisp.net.","London - United Kingdom","51.5074","-0.127758"
"162.43.194.64/27","LHR3","customer.lhr3.mc.starlinkisp.net.","London - United Kingdom","51.5074","-0.127758"
"162.43.194.96/27","LHR3","customer.lhr3.mc.starlinkisp.net.","London - United Kingdom","51.5074","-0.127758"
"162.43.194.128/27","LHR3","customer.lhr3.mc.starlinkisp.net.","London - United Kingdom","51.5074","-0.127758"
"162.43.194.160/27","LHR3","customer.lhr3.mc.starlinkisp.net.","London - United Kingdom","51.5074","-0.127758"
"162.43.194.192/27","LHR3","customer.lhr3.mc.starlinkisp.net.","London - United Kingdom","51.5074","-0.127758"
"162.43.194.224/27","LHR3","customer.lhr3.mc.starlinkisp.net.","London - United Kingdom","51.5074","-0.127758"
"162.43.195.0/27","LHR4","customer.lhr4.mc.starlinkisp.net.","London - United Kingdom","51.5074","-0.127758"
"162.43.195.32/27","LHR4","customer.lhr4.mc.starlinkisp.net.","London - United Kingdom","51.5074","-0.127758"
"162.43.195.64/27","LHR4","customer.lhr4.mc.starlinkisp.net.","London - United Kingdom","51.5074","-0.127758"
"162.43.195.96/27","LHR4","customer.lhr4.mc.starlinkisp.net.","London - United Kingdom","51.5074","-0.127758"
"162.43.195.128/27","LHR4","customer.lhr4.mc.starlinkisp.net.","London - United Kingdom","51.5074","-0.127758"
"162.43.195.160/27","LHR4","customer.lhr4.mc.starlinkisp.net.","London - United Kingdom","51.5074","-0.127758"
"162.43.195.192/27","LHR4","customer.lhr4.mc.starlinkisp.net.","London - United Kingdom","51.5074","-0.127758"
"162.43.195.224/27","LHR4","customer.lhr4.mc.starlinkisp.net.","London - United Kingdom","51.5074","-0.127758"
"143.131.0.0/27","LAX1","customer.lax1.mc.starlinkisp.net.","Los Angeles - United States","34.0522","-118.2437"
"143.131.0.32/27","LAX1","customer.lax1.mc.starlinkisp.net.","Los Angeles - United States","34.0522","-118.2437"
"143.131.0.64/27","LAX1","customer.lax1.mc.starlinkisp.net.","Los Angeles - United States","34.0522","-118.2437"
"143.131.0.96/27","LAX1","customer.lax1.mc.starlinkisp.net.","Los Angeles - United States","34.0522","-118.2437"
"143.131.0.128/27","LAX1","customer.lax1.mc.starlinkisp.net.","Los Angeles - United States","34.0522","-118.2437"
"143.131.0.160/27","LAX1","customer.lax1.mc.starlinkisp.net.","Los Angeles - United States","34.0522","-118.2437"
"143.131.0.192/27","LAX1","customer.lax1.mc.starlinkisp.net.","Los Angeles - United States","34.0522","-118.2437"
"143.131.0.224/27","LAX1","customer.lax1.mc.starlinkisp.net.","Los Angeles - United States","34.0522","-118.2437"
"143.131.1.0/27","LAX2","customer.lax2.mc.starlinkisp.net.","Los Angeles - United States","34.0522","-118.2437"
"143.131.1.32/27","LAX2","customer.lax2.mc.starlinkisp.net.","Los Angeles - United States","34.0522","-118.2437"
"143.131.1.64/27","LAX2","customer.lax2.mc.starlinkisp.net.","Los Angeles - United States","34.0522","-118.2437"
"143.131.1.96/27","LAX2","customer.lax2.mc.starlinkisp.net.","Los Angeles - United States","34.0522","-118.2437"
"143.131.1.128/27","LAX2","customer.lax2.mc.starlinkisp.net.","Los Angeles - United States","34.0522","-118.2437"
"143.131.1.160/27","LAX2","customer.lax2.mc.starlinkisp.net.","Los Angeles - United States","34.0522","-118.2437"
"143.131.1.192/27","LAX2","customer.lax2.mc.starlinkisp.net.","Los Angeles - United States","34.0522","-118.2437"
"143.131.1.224/27","LAX2","customer.lax2.mc.starlinkisp.net.","Los Angeles - United States","34.0522","-118.2437"
"206.214.226.0/27","LAX3","customer.lax3.mc.starlinkisp.net.","Los Angeles - United States","34.0522","-118.2437"
"206.214.226.32/27","LAX3","customer.lax3.mc.starlinkisp.net.","Los Angeles - United States","34.0522","-118.2437"
"206.214.226.64/27","LAX3","customer.lax3.mc.starlinkisp.net.","Los Angeles - United States","34.0522","-118.2437"
"206.214.226.96/27","LAX3","customer.lax3.mc.starlinkisp.net.","Los Angeles - United States","34.0522","-118.2437"
"206.214.226.128/27","LAX3","customer.lax3.mc.starlinkisp.net.","Los Angeles - United States","34.0522","-118.2437"
"206.214.226.160/27","LAX3","customer.lax3.mc.starlinkisp.net.","Los Angeles - United States","34.0522","-118.2437"
"206.214.226.192/27","LAX3","customer.lax3.mc.starlinkisp.net.","Los Angeles - United States","34.0522","-118.2437"
"206.214.226.224/27","LAX3","customer.lax3.mc.starlinkisp.net.","Los Angeles - United States","34.0522","-118.2437"
"206.214.227.0/27","LAX4","customer.lax4.mc.starlinkisp.net.","Los Angeles - United States","34.0522","-118.2437"
"206.214.227.32/27","LAX4","customer.lax4.mc.starlinkisp.net.","Los Angeles - United States","34.0522","-118.2437"
"206.214.227.64/27","LAX4","customer.lax4.mc.starlinkisp.net.","Los Angeles - United States","34.0522","-118.2437"
"206.214.227.96/27","LAX4","customer.lax4.mc.starlinkisp.net.","Los Angeles - United States","34.0522","-118.2437"
"206.214.227.128/27","LAX4","customer.lax4.mc.starlinkisp.net.","Los Angeles - United States","34.0522","-118.2437"
"206.214.227.160/27","LAX4","customer.lax4.mc.starlinkisp.net.","Los Angeles - United States","34.0522","-118.2437"
"206.214.227.192/27","LAX4","customer.lax4.mc.starlinkisp.net.","Los Angeles - United States","34.0522","-118.2437"
"206.214.227.224/27","LAX4","customer.lax4.mc.starlinkisp.net.","Los Angeles - United States","34.0522","-118.2437"
"162.43.192.0/27","MAD1","customer.mad1.mc.starlinkisp.net.","Madrid - Spain","40.436691","-3.622943"
"162.43.192.32/27","MAD1","customer.mad1.mc.starlinkisp.net.","Madrid - Spain","40.436691","-3.622943"
"162.43.192.64/27","MAD1","customer.mad1.mc.starlinkisp.net.","Madrid - Spain","40.436691","-3.622943"
"162.43.192.96/27","MAD1","customer.mad1.mc.starlinkisp.net.","Madrid - Spain","40.436691","-3.622943"
"162.43.192.128/27","MAD1","customer.mad1.mc.starlinkisp.net.","Madrid - Spain","40.436691","-3.622943"
"162.43.192.160/27","MAD1","customer.mad1.mc.starlinkisp.net.","Madrid - Spain","40.436691","-3.622943"
"162.43.192.192/27","MAD1","customer.mad1.mc.starlinkisp.net.","Madrid - Spain","40.436691","-3.622943"
"162.43.192.224/27","MAD1","customer.mad1.mc.starlinkisp.net.","Madrid - Spain","40.436691","-3.622943"
"162.43.193.0/27","MAD2","customer.mad2.mc.starlinkisp.net.","Madrid - Spain","40.436691","3.622943"
"162.43.193.32/27","MAD2","customer.mad2.mc.starlinkisp.net.","Madrid - Spain","40.436691","3.622943"
"162.43.193.64/27","MAD2","customer.mad2.mc.starlinkisp.net.","Madrid - Spain","40.436691","3.622943"
"162.43.193.96/27","MAD2","customer.mad2.mc.starlinkisp.net.","Madrid - Spain","40.436691","3.622943"
"162.43.193.128/27","MAD2","customer.mad2.mc.starlinkisp.net.","Madrid - Spain","40.436691","3.622943"
